@relation InstanceResultListener

@attribute Key_Dataset {arff_ant-1.3.csv}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.Logistic}
@attribute Key_Scheme_options {'-R 1.0E-8 -M -1'}
@attribute Key_Scheme_version_ID {3932117032546553727}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

arff_ant-1.3.csv,1,1,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20150612.1948,112,13,12,1,0,92.307692,7.692308,0,0.628571,0.142567,0.29486,52.953582,81.672192,8.063303,9.385539,-1.322236,0.620254,0.721965,-0.10171,3.347219,0.257478,514.939053,1,11,0.5,1,0.5,1,0,0,0.916667,1,0.956522,0.677003,0.545455,0.854254,0.923077,0.423077,0.576923,0.076923,0.929487,0.923077,0.911929,0.677003,0.545455,0.812574,0.811594,0.923077,0.088,0.002,0.076722,0.001883,76.722,1.883,10237,24040,4537,92.307692,69.230769,?
arff_ant-1.3.csv,1,2,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20150612.1948,112,13,11,2,0,84.615385,15.384615,0,0.409091,0.233493,0.404145,86.726024,111.942562,8.063303,10.882762,-2.819458,0.620254,0.837136,-0.216881,-0.662659,-0.050974,-101.94403,0.909091,10,0.5,1,0.5,1,0.090909,1,0.909091,0.909091,0.909091,0.409091,0.681818,0.925466,0.846154,0.437063,0.562937,0.153846,0.846154,0.846154,0.846154,0.409091,0.681818,0.877103,0.704545,0.846154,0.018,0.001,0.017533,0.000645,17.533,0.645,10237,24040,4537,92.307692,73.076923,?
arff_ant-1.3.csv,1,3,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20150612.1948,112,13,8,5,0,61.538462,38.461538,0,-0.226415,0.352563,0.497168,130.951861,137.708599,8.063303,12.433426,-4.370123,0.620254,0.956417,-0.336163,-5.167097,-0.397469,-794.910601,0.727273,8,1,2,0,0,0.272727,3,0.8,0.727273,0.761905,-0.23355,0.636364,0.932869,0.615385,0.888112,0.111888,0.384615,0.676923,0.615385,0.644689,-0.23355,0.636364,0.830559,0.380952,0.615385,0.019,0.001,0.018473,0.000901,18.473,0.901,10237,24040,4537,100,88.461538,?
arff_ant-1.3.csv,1,4,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20150612.1948,112,13,10,3,0,76.923077,23.076923,0,0.264151,0.202872,0.366024,75.352604,101.383481,8.063303,7.723949,0.339354,0.620254,0.59415,0.026104,-0.11513,-0.008856,-17.711719,0.818182,9,0.5,1,0.5,1,0.181818,2,0.9,0.818182,0.857143,0.272475,0.818182,0.964968,0.769231,0.451049,0.548951,0.230769,0.812821,0.769231,0.786813,0.272475,0.818182,0.919075,0.628571,0.769231,0.017,0.001,0.015548,0.000855,15.548,0.855,10237,24040,4537,100,69.230769,?
arff_ant-1.3.csv,1,5,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20150612.1948,112,13,11,2,0,84.615385,15.384615,0,0,0.179015,0.354622,66.491269,98.22551,8.063303,6.679729,1.383575,0.620254,0.513825,0.106429,1.159732,0.08921,178.414192,1,11,1,2,0,0,0,0,0.846154,1,0.916667,0,0.909091,0.986014,0.846154,0.846154,0.153846,0.153846,0.715976,0.846154,0.775641,0,0.909091,0.924063,0.458333,0.846154,0.017,0.001,0.015712,0.0009,15.712,0.9,10237,24040,4537,100,65.384615,?
arff_ant-1.3.csv,1,6,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20150612.1948,113,12,10,2,0,83.333333,16.666667,0,0.4,0.234763,0.39178,84.809841,105.1247,7.800401,7.940496,-0.140096,0.650033,0.661708,-0.011675,-0.751204,-0.0626,-116.169198,0.9,9,0.5,1,0.5,1,0.1,1,0.9,0.9,0.9,0.4,0.85,0.969798,0.833333,0.433333,0.566667,0.166667,0.833333,0.833333,0.833333,0.4,0.85,0.924832,0.7,0.833333,0.02,0.001,0.019134,0.000899,19.134,0.899,10237,24237,4340,100,79.166667,?
arff_ant-1.3.csv,1,7,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20150612.1948,113,12,9,3,0,75,25,0,0.25,0.310059,0.498773,112.010887,133.833931,7.800401,19.091213,-11.290813,0.650033,1.590934,-0.940901,-2.941107,-0.245092,-454.824633,0.8,8,0.5,1,0.5,1,0.2,2,0.888889,0.8,0.842105,0.258199,0.65,0.927255,0.75,0.45,0.55,0.25,0.796296,0.75,0.768421,0.258199,0.65,0.8243,0.621053,0.75,0.018,0.001,0.017284,0.00071,17.284,0.71,10237,24237,4340,83.333333,70.833333,?
arff_ant-1.3.csv,1,8,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20150612.1948,113,12,10,2,0,83.333333,16.666667,0,0.4,0.18724,0.409619,67.64177,109.911515,7.800401,24.439622,-16.639222,0.650033,2.036635,-1.386602,1.715755,0.14298,265.331266,0.9,9,0.5,1,0.5,1,0.1,1,0.9,0.9,0.9,0.4,0.55,0.87377,0.833333,0.433333,0.566667,0.166667,0.833333,0.833333,0.833333,0.4,0.55,0.786475,0.7,0.833333,0.019,0.001,0.018265,0.001129,18.265,1.129,10237,24237,4340,83.333333,58.333333,?
arff_ant-1.3.csv,1,9,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1',3932117032546553727,20150612.1948,113,12,11,1,0,91.666667,8.333333,0,0.625,0.174443,0.324295,63.018832,87.016882,7.800401,17.234433,-9.434033,0.650033,1.436203,-0.786169,1.616032,0.134669,249.909648,1,10,0.5,1,0.5,1,0,0,0.909091,1,0.952381,0.6742,0.5,0.798012,0.916667,0.416667,0.583333,0.083333,0.924242,0.916667,0.904762,0.6742,0.5,0.762232,0.809524,0.916667,0.036,0.001,0.018302,0.001669,18.302,1.669,10237,24237,4340,91.666667,75,?
