Target       | WPDP  | HDP-JC | HDP-Scipy | HDP-Scipy-IQR | N-50  | N-50-IQR | N-100 | N-100-IQR | N-150 | N-150-IQR | N-200 | N-200-IQR
ar1          | 0.582 | 0.736  | 0.714     | 0.0           | 0.644 | 0.08     | 0.696 | 0.018     | 0.696 | 0.02      | 0.711 | 0.028
camel-1.0    | 0.55  | 0.639  | 0.655     | 0.0           | 0.597 | 0.053    | 0.651 | 0.014     | 0.655 | 0.022     | 0.639 | 0.046
ar4          | 0.657 | 0.812  | 0.778     | 0.0           | 0.676 | 0.109    | 0.77  | 0.06      | 0.73  | 0.087     | 0.784 | 0.042
ar5          | 0.804 | 0.911  | 0.785     | 0.0           | 0.688 | 0.18     | 0.702 | 0.114     | 0.692 | 0.129     | 0.778 | 0.135
JM1          | 0.705 | 0.688  | 0.677     | 0.0           | 0.618 | 0.073    | 0.656 | 0.03      | 0.665 | 0.02      | 0.675 | 0.015
skarbonka    | 0.569 | 0.689  | 0.686     | 0.0           | 0.649 | 0.039    | 0.653 | 0.024     | 0.672 | 0.021     | 0.681 | 0.007
poi-1.5      | 0.707 | 0.723  | 0.546     | 0.0           | 0.619 | 0.054    | 0.644 | 0.087     | 0.595 | 0.109     | 0.55  | 0.045
safe         | 0.706 | 0.837  | 0.617     | 0.0           | 0.618 | 0.114    | 0.643 | 0.08      | 0.584 | 0.049     | 0.66  | 0.063
PC5          | 0.954 | 0.95   | 0.806     | 0.0           | 0.94  | 0.029    | 0.919 | 0.031     | 0.917 | 0.031     | 0.919 | 0.031
arc          | 0.67  | 0.701  | 0.697     | 0.0           | 0.609 | 0.074    | 0.665 | 0.026     | 0.671 | 0.011     | 0.69  | 0.027
velocity-1.4 | 0.725 | 0.391  | 0.486     | 0.0           | 0.492 | 0.038    | 0.466 | 0.049     | 0.5   | 0.011     | 0.488 | 0.023
KC3          | 0.609 | 0.678  | 0.672     | 0.0           | 0.591 | 0.062    | 0.649 | 0.025     | 0.649 | 0.013     | 0.66  | 0.012
apache       | 0.714 | 0.731  | 0.661     | 0.0           | 0.631 | 0.013    | 0.634 | 0.032     | 0.633 | 0.005     | 0.639 | 0.016
JDT          | 0.795 | 0.767  | 0.643     | 0.0           | 0.655 | 0.067    | 0.659 | 0.03      | 0.671 | 0.049     | 0.675 | 0.029
PDE          | 0.684 | 0.693  | 0.627     | 0.0           | 0.587 | 0.059    | 0.627 | 0.04      | 0.638 | 0.063     | 0.643 | 0.058
ant-1.3      | 0.609 | 0.8    | 0.689     | 0.0           | 0.651 | 0.08     | 0.673 | 0.054     | 0.686 | 0.045     | 0.705 | 0.019
EQ           | 0.583 | 0.782  | 0.749     | 0.0           | 0.724 | 0.089    | 0.745 | 0.025     | 0.748 | 0.017     | 0.743 | 0.015
MC2          | 0.646 | 0.686  | 0.672     | 0.0           | 0.617 | 0.065    | 0.673 | 0.017     | 0.665 | 0.057     | 0.675 | 0.018
MC1          | 0.863 | 0.893  | 0.766     | 0.0           | 0.833 | 0.077    | 0.84  | 0.058     | 0.847 | 0.075     | 0.847 | 0.049
ar6          | 0.654 | 0.667  | 0.656     | 0.0           | 0.57  | 0.067    | 0.618 | 0.022     | 0.629 | 0.023     | 0.645 | 0.037
MW1          | 0.612 | 0.745  | 0.69      | 0.0           | 0.595 | 0.113    | 0.692 | 0.031     | 0.712 | 0.032     | 0.718 | 0.012
LC           | 0.575 | 0.655  | 0.647     | 0.0           | 0.603 | 0.051    | 0.641 | 0.012     | 0.645 | 0.009     | 0.65  | 0.006
tomcat       | 0.778 | 0.737  | 0.528     | 0.0           | 0.639 | 0.111    | 0.733 | 0.021     | 0.727 | 0.036     | 0.741 | 0.021
PC2          | 0.748 | 0.893  | 0.874     | 0.0           | 0.766 | 0.176    | 0.874 | 0.018     | 0.883 | 0.01      | 0.885 | 0.01
ML           | 0.734 | 0.692  | 0.643     | 0.0           | 0.624 | 0.045    | 0.631 | 0.029     | 0.645 | 0.04      | 0.643 | 0.028
PC1          | 0.787 | 0.751  | 0.677     | 0.0           | 0.609 | 0.118    | 0.688 | 0.025     | 0.682 | 0.019     | 0.693 | 0.014
xerces-1.2   | 0.624 | 0.486  | 0.506     | 0.0           | 0.49  | 0.004    | 0.489 | 0.004     | 0.493 | 0.004     | 0.489 | 0.003
zxing        | 0.605 | 0.65   | 0.624     | 0.0           | 0.605 | 0.015    | 0.621 | 0.007     | 0.618 | 0.005     | 0.617 | 0.009
PC4          | 0.9   | 0.681  | 0.674     | 0.0           | 0.625 | 0.061    | 0.669 | 0.055     | 0.675 | 0.013     | 0.68  | 0.006
ar3          | 0.574 | 0.835  | 0.833     | 0.0           | 0.713 | 0.111    | 0.79  | 0.11      | 0.772 | 0.07      | 0.81  | 0.049
PC3          | 0.794 | 0.738  | 0.73      | 0.0           | 0.629 | 0.059    | 0.683 | 0.065     | 0.682 | 0.061     | 0.688 | 0.063
xalan-2.4    | 0.755 | 0.673  | 0.546     | 0.0           | 0.597 | 0.092    | 0.658 | 0.039     | 0.658 | 0.04      | 0.656 | 0.024
redaktor     | 0.744 | 0.528  | 0.472     | 0.0           | 0.508 | 0.014    | 0.508 | 0.011     | 0.508 | 0.009     | 0.508 | 0.005
CM1          | 0.653 | 0.72   | 0.653     | 0.0           | 0.593 | 0.091    | 0.644 | 0.016     | 0.649 | 0.008     | 0.65  | 0.01
