Target       , WPDP  , HDP-JC , HDP-Scipy , HDP-Scipy-IQR , N-50  , N-50-IQR , N-100 , N-100-IQR , N-150 , N-150-IQR , N-200 , N-200-IQR,N-50 Improvements,N-100 Improvements,N-150 Improvements,N-200 Improvements
ar5          ,0.804,0.911,0.897,0,0.799,0.226,0.751,0.263,0.774,0.221,0.786,0.199,-0.098,-0.146,-0.123,-0.111
poi-1.5      ,0.707,0.701,0.712,0,0.661,0.064,0.651,0.061,0.644,0.04,0.61,0.06,-0.051,-0.061,-0.068,-0.102
apache       ,0.714,0.717,0.71,0,0.663,0.039,0.706,0.044,0.713,0.015,0.674,0.035,-0.047,-0.004,0.003,-0.036
safe         ,0.706,0.818,0.772,0,0.715,0.067,0.768,0.058,0.769,0.049,0.737,0.076,-0.057,-0.004,-0.003,-0.035
mw1          ,0.612,0.727,0.71,0,0.573,0.122,0.619,0.125,0.656,0.035,0.696,0.019,-0.137,-0.091,-0.054,-0.014
ant-1.3      ,0.609,0.835,0.726,0,0.689,0.032,0.685,0.04,0.708,0.018,0.712,0.03,-0.037,-0.041,-0.018,-0.014
JDT          ,0.795,0.767,0.702,0,0.702,0.061,0.693,0.054,0.674,0.043,0.689,0.034,0,-0.009,-0.028,-0.013
ar3          ,0.574,0.823,0.842,0,0.758,0.086,0.819,0.073,0.815,0.061,0.831,0.009,-0.084,-0.023,-0.027,-0.011
ar6          ,0.654,0.64,0.626,0,0.578,0.066,0.559,0.053,0.536,0.059,0.615,0.02,-0.048,-0.067,-0.09,-0.011
zxing        ,0.605,0.65,0.624,0,0.622,0.026,0.62,0.019,0.621,0.007,0.619,0.014,-0.002,-0.004,-0.003,-0.005
skarbonka    ,0.569,0.694,0.669,0,0.637,0.077,0.649,0.046,0.643,0.056,0.666,0.034,-0.032,-0.02,-0.026,-0.003
arc          ,0.67,0.701,0.67,0,0.611,0.072,0.661,0.026,0.659,0.02,0.669,0.02,-0.059,-0.009,-0.011,-0.001
ar4          ,0.657,0.816,0.798,0,0.683,0.178,0.79,0.03,0.791,0.039,0.797,0.002,-0.115,-0.008,-0.007,-0.001
redaktor     ,0.744,0.537,0.508,0,0.522,0.026,0.519,0.019,0.508,0.012,0.508,0.01,0.014,0.011,0,0
cm1          ,0.653,0.717,0.633,0,0.617,0.024,0.628,0.01,0.633,0.002,0.633,0,-0.016,-0.005,0,0
camel-1.0    ,0.55,0.639,0.655,0,0.624,0.063,0.631,0.038,0.633,0.038,0.655,0.02,-0.031,-0.024,-0.022,0
pc1          ,0.787,0.752,0.671,0,0.655,0.03,0.671,0.007,0.671,0,0.671,0,-0.016,0,0,0
pc4          ,0.9,0.682,0.694,0,0.65,0.073,0.663,0.051,0.644,0.07,0.694,0.049,-0.044,-0.031,-0.05,0
xerces-1.2   ,0.624,0.489,0.489,0,0.485,0.01,0.487,0.005,0.484,0.008,0.489,0.009,-0.004,-0.002,-0.005,0
ar1          ,0.582,0.734,0.704,0,0.653,0.081,0.677,0.065,0.684,0.061,0.706,0.004,-0.051,-0.027,-0.02,0.002
PDE          ,0.684,0.717,0.665,0,0.644,0.077,0.659,0.033,0.667,0.012,0.671,0.01,-0.021,-0.006,0.002,0.006
ML           ,0.734,0.692,0.635,0,0.635,0.045,0.635,0.027,0.63,0.016,0.643,0.032,0,0,-0.005,0.008
LC           ,0.575,0.655,0.647,0,0.635,0.04,0.64,0.016,0.648,0.013,0.657,0.01,-0.012,-0.007,0.001,0.01
velocity-1.4 ,0.725,0.391,0.432,0,0.452,0.054,0.447,0.039,0.451,0.034,0.447,0.033,0.02,0.015,0.019,0.015
tomcat       ,0.778,0.818,0.716,0,0.653,0.073,0.727,0.053,0.715,0.08,0.744,0.066,-0.063,0.011,-0.001,0.028
EQ           ,0.583,0.783,0.716,0,0.742,0.045,0.751,0.042,0.746,0.04,0.75,0.023,0.026,0.035,0.03,0.034
xalan-2.4    ,0.755,0.751,0.59,0,0.651,0.048,0.635,0.067,0.643,0.054,0.646,0.066,0.061,0.045,0.053,0.056
pc3          ,0.794,0.738,0.496,0,0.638,0.031,0.657,0.024,0.645,0.016,0.643,0.016,0.142,0.161,0.149,0.147
