Target       | WPDP  | HDP-JC | HDP-Scipy | HDP-Scipy-IQR | N-50  | N-50-IQR | N-100 | N-100-IQR | N-150 | N-150-IQR | N-200 | N-200-IQR
ar3          | 0.574 | 0.823  | 0.842     | 0.0           | 0.708 | 0.21     | 0.821 | 0.029     | 0.825 | 0.048     | 0.82  | 0.15     
skarbonka    | 0.569 | 0.694  | 0.669     | 0.0           | 0.629 | 0.046    | 0.645 | 0.056     | 0.665 | 0.044     | 0.652 | 0.035    
poi-1.5      | 0.707 | 0.701  | 0.712     | 0.0           | 0.615 | 0.101    | 0.645 | 0.034     | 0.645 | 0.05      | 0.639 | 0.029    
arc          | 0.67  | 0.701  | 0.67      | 0.0           | 0.643 | 0.06     | 0.649 | 0.049     | 0.663 | 0.02      | 0.658 | 0.019    
velocity-1.4 | 0.725 | 0.391  | 0.432     | 0.0           | 0.459 | 0.057    | 0.451 | 0.042     | 0.451 | 0.029     | 0.451 | 0.026    
JDT          | 0.795 | 0.767  | 0.702     | 0.0           | 0.696 | 0.051    | 0.702 | 0.045     | 0.691 | 0.063     | 0.681 | 0.037    
LC           | 0.575 | 0.655  | 0.647     | 0.0           | 0.618 | 0.064    | 0.64  | 0.008     | 0.647 | 0.01      | 0.639 | 0.01     
zxing        | 0.605 | 0.65   | 0.624     | 0.0           | 0.61  | 0.036    | 0.623 | 0.014     | 0.627 | 0.008     | 0.621 | 0.021    
xalan-2.4    | 0.755 | 0.751  | 0.59      | 0.0           | 0.628 | 0.118    | 0.65  | 0.061     | 0.645 | 0.051     | 0.649 | 0.055    
redaktor     | 0.744 | 0.537  | 0.508     | 0.0           | 0.525 | 0.032    | 0.524 | 0.027     | 0.511 | 0.012     | 0.508 | 0.015    
cm1          | 0.653 | 0.717  | 0.633     | 0.0           | 0.621 | 0.029    | 0.633 | 0.001     | 0.633 | 0.0       | 0.633 | 0.0      
ar1          | 0.582 | 0.734  | 0.704     | 0.0           | 0.645 | 0.094    | 0.687 | 0.054     | 0.691 | 0.042     | 0.698 | 0.031    
camel-1.0    | 0.55  | 0.639  | 0.655     | 0.0           | 0.605 | 0.047    | 0.617 | 0.066     | 0.653 | 0.025     | 0.647 | 0.037    
ar4          | 0.657 | 0.816  | 0.798     | 0.0           | 0.667 | 0.114    | 0.782 | 0.049     | 0.798 | 0.007     | 0.792 | 0.016    
ar5          | 0.804 | 0.911  | 0.897     | 0.0           | 0.542 | 0.387    | 0.788 | 0.135     | 0.833 | 0.213     | 0.754 | 0.176    
ar6          | 0.654 | 0.64   | 0.626     | 0.0           | 0.548 | 0.038    | 0.537 | 0.024     | 0.546 | 0.043     | 0.546 | 0.051    
safe         | 0.706 | 0.818  | 0.772     | 0.0           | 0.685 | 0.065    | 0.762 | 0.059     | 0.74  | 0.066     | 0.718 | 0.055    
apache       | 0.714 | 0.717  | 0.71      | 0.0           | 0.661 | 0.038    | 0.699 | 0.03      | 0.724 | 0.016     | 0.711 | 0.023    
PDE          | 0.684 | 0.717  | 0.665     | 0.0           | 0.637 | 0.079    | 0.593 | 0.122     | 0.664 | 0.044     | 0.659 | 0.02     
EQ           | 0.583 | 0.783  | 0.716     | 0.0           | 0.748 | 0.07     | 0.738 | 0.027     | 0.738 | 0.057     | 0.734 | 0.04     
mw1          | 0.612 | 0.727  | 0.71      | 0.0           | 0.612 | 0.1      | 0.67  | 0.09      | 0.679 | 0.046     | 0.691 | 0.03     
tomcat       | 0.778 | 0.818  | 0.716     | 0.0           | 0.655 | 0.139    | 0.673 | 0.083     | 0.742 | 0.075     | 0.74  | 0.063    
ML           | 0.734 | 0.692  | 0.635     | 0.0           | 0.621 | 0.033    | 0.626 | 0.016     | 0.626 | 0.021     | 0.625 | 0.022    
pc1          | 0.787 | 0.752  | 0.671     | 0.0           | 0.655 | 0.037    | 0.671 | 0.004     | 0.671 | 0.0       | 0.671 | 0.0      
pc4          | 0.9   | 0.682  | 0.694     | 0.0           | 0.607 | 0.095    | 0.665 | 0.044     | 0.677 | 0.069     | 0.689 | 0.01     
ant-1.3      | 0.609 | 0.835  | 0.726     | 0.0           | 0.675 | 0.073    | 0.698 | 0.049     | 0.715 | 0.048     | 0.715 | 0.027    
pc3          | 0.794 | 0.738  | 0.496     | 0.0           | 0.639 | 0.087    | 0.653 | 0.021     | 0.643 | 0.016     | 0.643 | 0.015    
xerces-1.2   | 0.624 | 0.489  | 0.489     | 0.0           | 0.486 | 0.01     | 0.486 | 0.007     | 0.489 | 0.012     | 0.489 | 0.003  
