N   , EQ.arff
10,0.048
20,0.094
30,0.137
40,0.179
50,0.218
60,0.256
70,0.292
80,0.326
90,0.358
100,0.389
110,0.418
120,0.446
130,0.473
140,0.498
150,0.522
160,0.545
170,0.567
180,0.588
190,0.608
200,0.627
210,0.645
220,0.662
230,0.678
240,0.694
250,0.708
260,0.722
270,0.736
280,0.748
290,0.76
300,0.772
310,0.783
320,0.793
330,0.803
340,0.813
350,0.822
360,0.83
370,0.838
380,0.846
390,0.854
400,0.861
410,0.867
420,0.874
430,0.88
440,0.886
450,0.891
460,0.896
470,0.901
