Target       , HDP-JC , HDP-Scipy , N-50  , N-100 , N-150 , N-200,Improve 50,improve 100,improve 150,improve 200
JDT          ,0.767,0.702,0.691,0.669,0.671,0.653,-0.011,-0.033,-0.031,-0.049
mw1          ,0.727,0.71,0.642,0.673,0.704,0.708,-0.068,-0.037,-0.006,-0.002
ar3          ,0.823,0.842,0.839,0.842,0.842,0.842,-0.003,0,0,0
skarbonka    ,0.694,0.669,0.669,0.669,0.669,0.669,0,0,0,0
poi-1.5      ,0.701,0.712,0.677,0.651,0.704,0.712,-0.035,-0.061,-0.008,0
arc          ,0.701,0.67,0.677,0.673,0.671,0.67,0.007,0.003,0.001,0
velocity-1.4 ,0.391,0.432,0.451,0.451,0.451,0.432,0.019,0.019,0.019,0
zxing        ,0.65,0.624,0.625,0.625,0.624,0.624,0.001,0.001,0,0
redaktor     ,0.537,0.508,0.519,0.514,0.518,0.508,0.011,0.006,0.01,0
cm1          ,0.717,0.633,0.633,0.633,0.633,0.633,0,0,0,0
ar1          ,0.734,0.704,0.696,0.704,0.704,0.704,-0.008,0,0,0
ar4          ,0.816,0.798,0.794,0.798,0.798,0.798,-0.004,0,0,0
ar5          ,0.911,0.897,0.897,0.897,0.897,0.897,0,0,0,0
ar6          ,0.64,0.626,0.613,0.613,0.626,0.626,-0.013,-0.013,0,0
safe         ,0.818,0.772,0.754,0.772,0.772,0.772,-0.018,0,0,0
apache       ,0.717,0.71,0.692,0.715,0.705,0.71,-0.018,0.005,-0.005,0
pc1          ,0.752,0.671,0.678,0.671,0.671,0.671,0.007,0,0,0
pc4          ,0.682,0.694,0.683,0.696,0.698,0.694,-0.011,0.002,0.004,0
ant-1.3      ,0.835,0.726,0.732,0.723,0.726,0.726,0.006,-0.003,0,0
xerces-1.2   ,0.489,0.489,0.482,0.485,0.488,0.489,-0.007,-0.004,-0.001,0
PDE          ,0.717,0.665,0.669,0.663,0.673,0.671,0.004,-0.002,0.008,0.006
camel-1.0    ,0.639,0.655,0.655,0.663,0.655,0.663,0,0.008,0,0.008
LC           ,0.655,0.647,0.652,0.663,0.658,0.657,0.005,0.016,0.011,0.01
ML           ,0.692,0.635,0.641,0.643,0.629,0.646,0.006,0.008,-0.006,0.011
EQ           ,0.783,0.716,0.752,0.752,0.737,0.737,0.036,0.036,0.021,0.021
tomcat       ,0.818,0.716,0.737,0.748,0.763,0.754,0.021,0.032,0.047,0.038
xalan-2.4    ,0.751,0.59,0.704,0.69,0.686,0.682,0.114,0.1,0.096,0.092
pc3          ,0.738,0.496,0.658,0.642,0.639,0.635,0.162,0.146,0.143,0.139
