Target       , WPDP  , HDP-JC , HDP-Scipy , HDP-Scipy-IQR , N-50  , N-50-IQR , N-100 , N-100-IQR , N-150 , N-150-IQR , N-200 , N-200-IQR,N-50 Improvements,N-100 Improvements,N-150 Improvemnets,N-200 Improvements
mw1          ,0.612,0.727,0.71,0,0.573,0.122,0.589,0.15,0.654,0.072,0.675,0.041,-0.137,-0.121,-0.056,-0.035
ar4          ,0.657,0.816,0.798,0,0.683,0.178,0.784,0.065,0.797,0.028,0.794,0.012,-0.115,-0.014,-0.001,-0.004
ar5          ,0.804,0.911,0.897,0,0.799,0.226,0.72,0.229,0.763,0.184,0.659,0.214,-0.098,-0.177,-0.134,-0.238
ar3          ,0.574,0.823,0.842,0,0.758,0.086,0.808,0.066,0.823,0.065,0.825,0.119,-0.084,-0.034,-0.019,-0.017
tomcat       ,0.778,0.818,0.716,0,0.653,0.073,0.746,0.019,0.73,0.066,0.744,0.041,-0.063,0.03,0.014,0.028
arc          ,0.67,0.701,0.67,0,0.611,0.072,0.651,0.025,0.667,0.02,0.651,0.046,-0.059,-0.019,-0.003,-0.019
safe         ,0.706,0.818,0.772,0,0.715,0.067,0.769,0.047,0.738,0.082,0.728,0.083,-0.057,-0.003,-0.034,-0.044
poi-1.5      ,0.707,0.701,0.712,0,0.661,0.064,0.631,0.068,0.645,0.067,0.603,0.094,-0.051,-0.081,-0.067,-0.109
ar1          ,0.582,0.734,0.704,0,0.653,0.081,0.683,0.056,0.681,0.059,0.69,0.046,-0.051,-0.021,-0.023,-0.014
ar6          ,0.654,0.64,0.626,0,0.578,0.066,0.534,0.034,0.552,0.078,0.555,0.069,-0.048,-0.092,-0.074,-0.071
apache       ,0.714,0.717,0.71,0,0.663,0.039,0.71,0.034,0.718,0.012,0.71,0.017,-0.047,0,0.008,0
pc4          ,0.9,0.682,0.694,0,0.65,0.073,0.639,0.058,0.682,0.059,0.684,0.03,-0.044,-0.055,-0.012,-0.01
ant-1.3      ,0.609,0.835,0.726,0,0.689,0.032,0.708,0.037,0.707,0.034,0.71,0.026,-0.037,-0.018,-0.019,-0.016
skarbonka    ,0.569,0.694,0.669,0,0.637,0.077,0.653,0.056,0.676,0.014,0.659,0.087,-0.032,-0.016,0.007,-0.01
camel-1.0    ,0.55,0.639,0.655,0,0.624,0.063,0.617,0.043,0.633,0.037,0.638,0.038,-0.031,-0.038,-0.022,-0.017
PDE          ,0.684,0.717,0.665,0,0.644,0.077,0.627,0.07,0.659,0.031,0.67,0.006,-0.021,-0.038,-0.006,0.005
cm1          ,0.653,0.717,0.633,0,0.617,0.024,0.633,0.008,0.633,0.002,0.633,0.002,-0.016,0,0,0
pc1          ,0.787,0.752,0.671,0,0.655,0.03,0.671,0.01,0.671,0.011,0.671,0,-0.016,0,0,0
LC           ,0.575,0.655,0.647,0,0.635,0.04,0.636,0.028,0.649,0.013,0.644,0.014,-0.012,-0.011,0.002,-0.003
xerces-1.2   ,0.624,0.489,0.489,0,0.485,0.01,0.486,0.007,0.487,0.01,0.489,0.01,-0.004,-0.003,-0.002,0
zxing        ,0.605,0.65,0.624,0,0.622,0.026,0.623,0.013,0.623,0.007,0.622,0.009,-0.002,-0.001,-0.001,-0.002
JDT          ,0.795,0.767,0.702,0,0.702,0.061,0.69,0.039,0.7,0.033,0.692,0.037,0,-0.012,-0.002,-0.01
ML           ,0.734,0.692,0.635,0,0.635,0.045,0.633,0.023,0.637,0.028,0.629,0.012,0,-0.002,0.002,-0.006
redaktor     ,0.744,0.537,0.508,0,0.522,0.026,0.519,0.032,0.51,0.026,0.516,0.01,0.014,0.011,0.002,0.008
velocity-1.4 ,0.725,0.391,0.432,0,0.452,0.054,0.451,0.026,0.451,0.035,0.451,0.017,0.02,0.019,0.019,0.019
EQ           ,0.583,0.783,0.716,0,0.742,0.045,0.744,0.015,0.738,0.013,0.737,0.03,0.026,0.028,0.022,0.021
xalan-2.4    ,0.755,0.751,0.59,0,0.651,0.048,0.659,0.069,0.634,0.07,0.638,0.068,0.061,0.069,0.044,0.048
pc3          ,0.794,0.738,0.496,0,0.638,0.031,0.643,0.025,0.646,0.02,0.643,0.031,0.142,0.147,0.15,0.147
