Target       , WPDP  , HDP-JC , HDP-Scipy , HDP-Scipy-IQR , N-50  , N-50-IQR , N-100 , N-100-IQR , N-150 , N-150-IQR , N-200 , N-200-IQR,N-50 Improvement,N-100 Improvement,N-150 Improvement,N-200 Improvement
ar5          ,0.804,0.911,0.897,0,0.731,0.22,0.663,0.25,0.67,0.19,0.686,0.229,-0.166,-0.234,-0.227,-0.211
poi-1.5      ,0.707,0.701,0.712,0,0.614,0.08,0.612,0.078,0.627,0.112,0.552,0.065,-0.098,-0.1,-0.085,-0.16
mw1          ,0.612,0.727,0.71,0,0.629,0.114,0.684,0.05,0.665,0.086,0.609,0.106,-0.081,-0.026,-0.045,-0.101
ar6          ,0.654,0.64,0.626,0,0.537,0.025,0.555,0.033,0.553,0.05,0.547,0.069,-0.089,-0.071,-0.073,-0.079
safe         ,0.706,0.818,0.772,0,0.707,0.104,0.734,0.056,0.726,0.044,0.738,0.047,-0.065,-0.038,-0.046,-0.034
pc4          ,0.9,0.682,0.694,0,0.611,0.111,0.6,0.121,0.603,0.131,0.666,0.093,-0.083,-0.094,-0.091,-0.028
EQ           ,0.583,0.783,0.716,0,0.735,0.067,0.732,0.074,0.742,0.036,0.692,0.079,0.019,0.016,0.026,-0.024
PDE          ,0.684,0.717,0.665,0,0.607,0.101,0.639,0.04,0.658,0.077,0.643,0.062,-0.058,-0.026,-0.007,-0.022
ar4          ,0.657,0.816,0.798,0,0.667,0.139,0.776,0.117,0.769,0.048,0.78,0.024,-0.131,-0.022,-0.029,-0.018
zxing        ,0.605,0.65,0.624,0,0.607,0.032,0.607,0.031,0.609,0.021,0.609,0.026,-0.017,-0.017,-0.015,-0.015
ar3          ,0.574,0.823,0.842,0,0.746,0.133,0.752,0.093,0.813,0.102,0.828,0.04,-0.096,-0.09,-0.029,-0.014
apache       ,0.714,0.717,0.71,0,0.663,0.02,0.71,0.027,0.708,0.004,0.696,0.021,-0.047,0,-0.002,-0.014
arc          ,0.67,0.701,0.67,0,0.627,0.083,0.666,0.01,0.648,0.045,0.659,0.053,-0.043,-0.004,-0.022,-0.011
JDT          ,0.795,0.767,0.702,0,0.691,0.052,0.691,0.076,0.696,0.041,0.692,0.047,-0.011,-0.011,-0.006,-0.01
ant-1.3      ,0.609,0.835,0.726,0,0.671,0.032,0.708,0.036,0.707,0.041,0.716,0.019,-0.055,-0.018,-0.019,-0.01
ar1          ,0.582,0.734,0.704,0,0.659,0.079,0.67,0.075,0.681,0.067,0.697,0.032,-0.045,-0.034,-0.023,-0.007
ML           ,0.734,0.692,0.635,0,0.635,0.042,0.653,0.019,0.634,0.024,0.629,0.038,0,0.018,-0.001,-0.006
skarbonka    ,0.569,0.694,0.669,0,0.617,0.064,0.66,0.041,0.644,0.032,0.664,0.04,-0.052,-0.009,-0.025,-0.005
LC           ,0.575,0.655,0.647,0,0.619,0.056,0.638,0.07,0.642,0.016,0.643,0.014,-0.028,-0.009,-0.005,-0.004
redaktor     ,0.744,0.537,0.508,0,0.508,0.041,0.512,0.032,0.509,0.027,0.508,0.017,0,0.004,0.001,0
cm1          ,0.653,0.717,0.633,0,0.619,0.023,0.627,0.015,0.626,0.012,0.633,0.003,-0.014,-0.006,-0.007,0
camel-1.0    ,0.55,0.639,0.655,0,0.611,0.061,0.645,0.022,0.645,0.04,0.655,0.022,-0.044,-0.01,-0.01,0
pc1          ,0.787,0.752,0.671,0,0.656,0.028,0.669,0.014,0.671,0,0.671,0,-0.015,-0.002,0,0
xerces-1.2   ,0.624,0.489,0.489,0,0.489,0.009,0.483,0.007,0.485,0.008,0.489,0.002,0,-0.006,-0.004,0
tomcat       ,0.778,0.818,0.716,0,0.635,0.119,0.717,0.056,0.726,0.082,0.734,0.063,-0.081,0.001,0.01,0.018
velocity-1.4 ,0.725,0.391,0.432,0,0.458,0.042,0.464,0.041,0.451,0.009,0.451,0.017,0.026,0.032,0.019,0.019
xalan-2.4    ,0.755,0.751,0.59,0,0.616,0.067,0.661,0.022,0.664,0.036,0.659,0.053,0.026,0.071,0.074,0.069
pc3          ,0.794,0.738,0.496,0,0.631,0.051,0.657,0.066,0.655,0.047,0.677,0.078,0.135,0.161,0.159,0.181
