Target       | WPDP  | HDP-JC | N-50  | N-50-IQR | N-100 | N-100-IQR | N-150 | N-150-IQR | N-200 | N-200-IQR
ar3          | 0.574 | 0.823  | 0.717 | 0.108    | 0.819 | 0.104     | 0.831 | 0.014     | 0.831 | 0.033    
skarbonka    | 0.569 | 0.694  | 0.679 | 0.064    | 0.698 | 0.036     | 0.685 | 0.018     | 0.689 | 0.015    
poi-1.5      | 0.707 | 0.701  | 0.662 | 0.04     | 0.692 | 0.057     | 0.698 | 0.037     | 0.649 | 0.083    
arc          | 0.67  | 0.701  | 0.657 | 0.034    | 0.671 | 0.027     | 0.694 | 0.022     | 0.69  | 0.018    
velocity-1.4 | 0.725 | 0.391  | 0.458 | 0.025    | 0.491 | 0.054     | 0.505 | 0.05      | 0.504 | 0.048    
JDT          | 0.795 | 0.767  | 0.642 | 0.057    | 0.655 | 0.063     | 0.661 | 0.02      | 0.655 | 0.024    
LC           | 0.575 | 0.655  | 0.621 | 0.033    | 0.627 | 0.054     | 0.64  | 0.043     | 0.631 | 0.046    
zxing        | 0.605 | 0.65   | 0.585 | 0.03     | 0.611 | 0.014     | 0.617 | 0.019     | 0.623 | 0.013    
xalan-2.4    | 0.755 | 0.751  | 0.68  | 0.043    | 0.683 | 0.034     | 0.692 | 0.022     | 0.694 | 0.027    
redaktor     | 0.744 | 0.537  | 0.522 | 0.033    | 0.508 | 0.03      | 0.521 | 0.03      | 0.518 | 0.031    
cm1          | 0.653 | 0.717  | 0.579 | 0.048    | 0.629 | 0.016     | 0.635 | 0.019     | 0.643 | 0.017    
ar1          | 0.582 | 0.734  | 0.62  | 0.096    | 0.685 | 0.019     | 0.693 | 0.018     | 0.679 | 0.091    
camel-1.0    | 0.55  | 0.639  | 0.645 | 0.027    | 0.661 | 0.046     | 0.672 | 0.056     | 0.663 | 0.043    
ar4          | 0.657 | 0.816  | 0.622 | 0.159    | 0.762 | 0.065     | 0.788 | 0.08      | 0.792 | 0.015    
ar5          | 0.804 | 0.911  | 0.653 | 0.152    | 0.651 | 0.093     | 0.8   | 0.133     | 0.697 | 0.268    
ar6          | 0.654 | 0.64   | 0.571 | 0.034    | 0.633 | 0.03      | 0.621 | 0.038     | 0.579 | 0.062    
safe         | 0.706 | 0.818  | 0.583 | 0.1      | 0.667 | 0.078     | 0.62  | 0.065     | 0.609 | 0.061    
apache       | 0.714 | 0.717  | 0.639 | 0.038    | 0.635 | 0.029     | 0.631 | 0.008     | 0.631 | 0.006    
PDE          | 0.684 | 0.717  | 0.599 | 0.053    | 0.646 | 0.077     | 0.627 | 0.05      | 0.658 | 0.045    
EQ           | 0.583 | 0.783  | 0.721 | 0.057    | 0.752 | 0.027     | 0.756 | 0.014     | 0.752 | 0.015    
mw1          | 0.612 | 0.727  | 0.599 | 0.065    | 0.697 | 0.047     | 0.708 | 0.0       | 0.708 | 0.0      
tomcat       | 0.778 | 0.818  | 0.741 | 0.042    | 0.75  | 0.02      | 0.724 | 0.053     | 0.753 | 0.048    
ML           | 0.734 | 0.692  | 0.624 | 0.074    | 0.633 | 0.028     | 0.643 | 0.048     | 0.643 | 0.026    
pc1          | 0.787 | 0.752  | 0.671 | 0.016    | 0.671 | 0.001     | 0.671 | 0.032     | 0.671 | 0.015    
pc4          | 0.9   | 0.682  | 0.608 | 0.104    | 0.655 | 0.095     | 0.663 | 0.037     | 0.688 | 0.029    
ant-1.3      | 0.609 | 0.835  | 0.689 | 0.054    | 0.722 | 0.042     | 0.741 | 0.042     | 0.752 | 0.018    
pc3          | 0.794 | 0.738  | 0.619 | 0.091    | 0.663 | 0.072     | 0.667 | 0.049     | 0.692 | 0.072    
xerces-1.2   | 0.624 | 0.489  | 0.48  | 0.015    | 0.485 | 0.007     | 0.489 | 0.001     | 0.489 | 0.0  
