Target       | WPDP  | HDP-JC | N-50  | N-50-IQR | N-100 | N-100-IQR | N-150 | N-150-IQR | N-200 | N-200-IQR
ar3          | 0.574 | 0.823  | 0.791 | 0.089    | 0.774 | 0.147     | 0.704 | 0.183     | 0.71  | 0.157    
skarbonka    | 0.569 | 0.694  | 0.671 | 0.035    | 0.664 | 0.036     | 0.68  | 0.028     | 0.681 | 0.025    
poi-1.5      | 0.707 | 0.701  | 0.685 | 0.057    | 0.677 | 0.054     | 0.653 | 0.071     | 0.663 | 0.086    
arc          | 0.67  | 0.701  | 0.67  | 0.034    | 0.677 | 0.027     | 0.683 | 0.028     | 0.694 | 0.015    
velocity-1.4 | 0.725 | 0.391  | 0.468 | 0.043    | 0.489 | 0.037     | 0.508 | 0.089     | 0.521 | 0.059    
JDT          | 0.795 | 0.767  | 0.661 | 0.052    | 0.642 | 0.032     | 0.649 | 0.024     | 0.661 | 0.022    
LC           | 0.575 | 0.655  | 0.637 | 0.026    | 0.631 | 0.072     | 0.612 | 0.054     | 0.633 | 0.043    
zxing        | 0.605 | 0.65   | 0.619 | 0.018    | 0.604 | 0.026     | 0.587 | 0.033     | 0.619 | 0.018    
xalan-2.4    | 0.755 | 0.751  | 0.689 | 0.027    | 0.677 | 0.038     | 0.677 | 0.038     | 0.675 | 0.03     
redaktor     | 0.744 | 0.537  | 0.533 | 0.041    | 0.53  | 0.041     | 0.518 | 0.019     | 0.518 | 0.024    
cm1          | 0.653 | 0.717  | 0.619 | 0.03     | 0.621 | 0.017     | 0.621 | 0.037     | 0.624 | 0.018    
ar1          | 0.582 | 0.734  | 0.681 | 0.052    | 0.621 | 0.086     | 0.677 | 0.053     | 0.673 | 0.097    
camel-1.0    | 0.55  | 0.639  | 0.666 | 0.025    | 0.655 | 0.024     | 0.655 | 0.049     | 0.653 | 0.072    
ar4          | 0.657 | 0.816  | 0.726 | 0.065    | 0.752 | 0.117     | 0.679 | 0.111     | 0.722 | 0.19     
ar5          | 0.804 | 0.911  | 0.778 | 0.168    | 0.611 | 0.114     | 0.607 | 0.043     | 0.623 | 0.119    
ar6          | 0.654 | 0.64   | 0.599 | 0.036    | 0.623 | 0.053     | 0.617 | 0.044     | 0.607 | 0.08     
safe         | 0.706 | 0.818  | 0.661 | 0.057    | 0.666 | 0.024     | 0.6   | 0.057     | 0.597 | 0.054    
apache       | 0.714 | 0.717  | 0.645 | 0.025    | 0.629 | 0.018     | 0.629 | 0.006     | 0.625 | 0.013    
PDE          | 0.684 | 0.717  | 0.633 | 0.056    | 0.604 | 0.054     | 0.643 | 0.081     | 0.607 | 0.112    
EQ           | 0.583 | 0.783  | 0.762 | 0.032    | 0.747 | 0.036     | 0.746 | 0.051     | 0.749 | 0.02     
mw1          | 0.612 | 0.727  | 0.615 | 0.104    | 0.636 | 0.065     | 0.656 | 0.062     | 0.681 | 0.092    
tomcat       | 0.778 | 0.818  | 0.732 | 0.032    | 0.73  | 0.056     | 0.721 | 0.063     | 0.738 | 0.079    
ML           | 0.734 | 0.692  | 0.631 | 0.033    | 0.64  | 0.038     | 0.627 | 0.034     | 0.623 | 0.042    
pc1          | 0.787 | 0.752  | 0.669 | 0.034    | 0.663 | 0.032     | 0.662 | 0.028     | 0.671 | 0.016    
pc4          | 0.9   | 0.682  | 0.635 | 0.09     | 0.663 | 0.061     | 0.681 | 0.036     | 0.7   | 0.01     
ant-1.3      | 0.609 | 0.835  | 0.726 | 0.062    | 0.733 | 0.04      | 0.691 | 0.1       | 0.713 | 0.043    
pc3          | 0.794 | 0.738  | 0.644 | 0.074    | 0.642 | 0.055     | 0.638 | 0.084     | 0.643 | 0.065    
xerces-1.2   | 0.624 | 0.489  | 0.482 | 0.006    | 0.488 | 0.005     | 0.489 | 0.0       | 0.488 | 0.003    
